TransactionID,Department,Region,TransactionDate,Revenue,Cost
48,Finance,Central,2024-12-17,527249.25,307629.65
49,Operations,North,2024-03-13,318229.96,101669.23
50,HR,Central,2022-05-14,203134.61,304673.72
51,HR,Central,2021-01-06,473537.63,118237.23
52,HR,Central,2024-09-02,49938.62,315014.98
53,HR,Central,2024-06-07,557835.67,162085.17
54,Finance,South,2024-02-20,525370.06,86045.96
55,IT,Central,2022-09-09,347382.43,409506.2
56,Sales,Central,2022-12-12,199057.56,63208.94
57,HR,South,2022-04-20,63228.91,347092.34
58,Operations,West,2022-07-28,599902.18,61967.09
59,HR,South,2023-03-07,467950.92,313798.89
60,Operations,East,2022-05-23,232983.98,65686.58
61,Operations,South,2022-08-15,55695.94,237812.17
62,HR,West,2021-06-24,399806.91,99214.14
63,Finance,East,2022-11-23,592731.72,392363.24
64,Operations,East,2024-07-18,437425.35,191441.33
65,Operations,North,2023-02-27,91461.5,24664.18
66,HR,Central,2022-07-26,268264.5,289365.66
67,Operations,East,2021-07-05,105596.82,210300.11
68,Operations,East,2022-08-10,551249.11,389407.38
69,HR,West,2024-01-23,228380.03,205118.28
70,HR,East,2022-05-29,452023.97,195612.69
71,Sales,West,2024-04-16,92003.15,214168.27
72,Finance,Central,2022-10-16,116270.16,389456.94
73,Finance,North,2022-07-10,422115.65,271507.35
74,Operations,North,2021-10-22,513131.37,307164.57
75,Finance,Central,2024-06-08,156804.73,329217.5
76,Operations,Central,2024-06-13,277177.17,423006.71
77,Sales,South,2024-01-22,388776.45,379808.9
78,HR,East,2021-02-13,486933.37,418586.8
79,HR,East,2022-06-23,393649.12,166307.73
80,HR,East,2021-02-08,97961.39,110810.9
81,Finance,West,2024-11-09,346264.73,105864.27
82,Sales,South,2024-12-29,535956.71,388570.07
83,Finance,East,2021-10-16,526753.17,376815.41
84,Finance,West,2021-09-05,369683.66,298977.82
85,Sales,West,2021-12-25,597611.39,45191.11
86,Sales,North,2021-07-28,103343.67,155396.8
87,Sales,West,2021-05-04,310620.42,335174.96
88,Sales,Central,2023-09-02,475193.62,125381.71
89,HR,West,2022-02-07,123276.16,287593.45
90,IT,Central,2021-10-11,584876.12,252464.21
91,IT,Central,2022-10-25,241495.83,131474.47
92,Sales,North,2022-07-30,239327.56,421634.03
93,IT,North,2021-08-29,163322.84,128911.27
94,IT,West,2021-06-16,204849.69,404549.78
95,Sales,North,2022-07-15,365561.84,251682.59
96,IT,North,2021-05-28,283291.63,57669.7
97,Finance,East,2022-12-02,152324.89,378125.89
98,Operations,West,2022-09-15,494072.67,359898.64
99,Operations,West,2021-09-22,79542.82,376981.0
100,Sales,West,2022-05-16,508232.27,293680.17
101,HR,North,2021-10-06,197590.99,325417.95
102,Sales,North,2023-01-19,320226.35,409849.05
103,HR,Central,2023-06-22,256490.82,73165.69
104,Operations,South,2021-06-08,361684.17,53872.35
105,Sales,South,2023-12-20,486774.45,72032.68
106,Finance,South,2022-05-14,594072.49,393870.95
107,IT,East,2024-09-02,214862.83,261187.57
108,HR,North,2022-05-03,352361.45,94060.2
109,IT,Central,2022-04-10,303634.19,79219.61
110,IT,Central,2021-08-16,599405.13,210422.98
111,Sales,South,2022-10-28,493947.06,370397.11
112,IT,East,2024-10-11,265381.54,365836.34
113,Finance,East,2023-04-02,309667.88,385741.33
114,IT,South,2023-03-10,181505.91,350184.12
115,Sales,South,2023-01-23,464162.26,44619.76
116,Finance,North,2024-06-04,514092.54,329112.1
117,Operations,East,2024-04-07,580567.69,242191.28
118,IT,Central,2024-07-31,359035.04,331810.08
119,Sales,South,2021-09-19,417229.07,227210.14
120,Operations,North,2023-05-10,292562.65,226888.87
121,Operations,Central,2021-12-30,383066.32,72490.17
122,HR,East,2021-04-08,238555.71,409057.3
123,Finance,South,2023-11-02,454417.46,179836.6
124,IT,South,2023-02-23,57598.7,269585.61
125,Sales,North,2022-08-06,60793.55,107491.51
126,HR,North,2023-07-16,442447.09,177360.0
127,Finance,East,2024-12-11,561528.96,394089.45
128,HR,South,2021-05-15,395898.16,108546.93
129,Finance,North,2021-09-16,448223.21,107037.62
130,Finance,South,2023-07-05,502283.53,130535.62
131,IT,East,2022-06-01,245729.22,266253.59
132,Finance,South,2024-08-10,105003.08,242937.31
133,HR,Central,2021-05-31,562866.22,93739.1
134,Finance,South,2024-07-05,565906.66,316930.62
135,IT,West,2023-05-18,290221.51,410057.29
136,IT,West,2024-03-18,165529.16,103894.08
137,HR,East,2023-09-01,540256.68,308716.05
138,Operations,East,2021-05-22,438176.82,271318.14
139,Operations,East,2021-09-08,49566.73,160101.63
140,Finance,Central,2023-08-16,104784.43,284902.83
141,Sales,Central,2023-06-26,590675.8,108680.64
142,Finance,South,2022-10-06,66161.14,378268.49
143,HR,North,2023-12-07,201818.03,27595.62
144,HR,West,2024-10-27,349415.47,262971.21
145,HR,West,2021-04-04,147317.37,155713.04
146,HR,West,2023-01-31,173790.02,398747.83
147,HR,South,2021-12-22,240896.96,233726.23
148,IT,South,2022-06-16,194602.62,364674.83
149,Operations,East,2022-11-23,490862.71,417090.39
150,HR,North,2024-07-19,322652.33,162439.01
151,Sales,East,2024-12-23,199634.18,398307.68
152,Sales,South,2022-10-10,218768.3,331752.5
153,Sales,Central,2022-12-03,67125.05,64731.34
154,Sales,East,2022-12-25,72412.6,62893.42
155,IT,South,2023-07-06,443438.7,371093.21
156,Sales,South,2021-03-05,107665.51,220312.55
157,HR,Central,2023-07-15,309067.21,231904.92
158,Finance,Central,2024-04-02,512512.93,403018.5
159,Sales,Central,2024-11-13,249491.7,408443.04
160,IT,North,2022-12-28,236892.49,66688.99
161,IT,South,2023-02-05,529541.79,179416.08
162,Sales,Central,2023-07-12,524991.97,404737.96
163,Finance,North,2022-10-15,533475.92,372177.08
164,Sales,West,2023-06-24,362412.25,329475.81
165,IT,West,2023-11-07,573528.87,62049.83
166,Operations,West,2022-08-30,499524.99,286356.05
167,HR,South,2023-01-16,275677.11,269359.81
168,IT,North,2023-07-29,394403.1,90216.17
169,Sales,North,2024-08-17,112592.94,352307.0
170,HR,West,2021-03-29,350989.36,152774.06
171,Sales,East,2022-07-17,191047.74,286110.31
172,Sales,West,2024-06-22,202368.71,174312.93
173,Operations,South,2024-02-11,114773.62,54458.73
174,HR,West,2022-03-18,243800.57,244711.39
175,HR,West,2023-10-29,312171.63,150469.83
176,Operations,North,2022-07-13,378196.71,48807.22
177,IT,West,2024-01-29,214202.48,103755.85
178,Sales,Central,2024-09-30,484697.77,285345.69
179,Finance,Central,2023-01-23,334132.78,61797.02
180,Sales,East,2023-06-20,399118.92,55785.46
181,Sales,South,2022-04-26,199369.7,425817.32
182,IT,South,2022-12-04,496845.41,64450.1
183,Sales,North,2024-09-27,391472.32,180457.8
184,Operations,South,2023-08-01,523603.56,75633.5
185,Operations,East,2024-06-11,133773.13,423764.25
186,HR,Central,2023-03-04,256268.11,225861.72
187,Finance,North,2024-06-12,107723.98,66003.51
188,Sales,Central,2021-05-06,164617.66,350128.7
189,Sales,East,2022-11-21,263973.86,355299.81
190,IT,North,2022-04-22,541492.96,407318.17
191,Operations,West,2022-11-16,354157.57,322843.13
192,Finance,South,2022-01-07,228359.97,41637.43
193,HR,East,2024-02-18,459529.04,255734.59
194,Operations,North,2022-06-26,55923.9,183905.22
195,HR,Central,2022-07-14,250401.18,341387.01
196,IT,North,2021-06-28,378461.59,273281.33
197,IT,West,2024-01-23,368696.7,331286.62
198,Sales,East,2022-07-21,382194.62,95951.77
199,Finance,North,2023-01-18,162382.92,206814.67
200,HR,East,2023-08-09,232078.93,204669.07
201,Operations,East,2021-10-29,562018.83,441781.03
202,IT,Central,2024-12-12,585556.42,26255.59
203,Sales,South,2022-08-09,218181.28,370530.55
204,Sales,West,2024-12-11,402699.56,59952.23
205,HR,North,2024-02-20,178919.71,52723.32
206,IT,South,2021-02-26,249533.41,159772.25
207,Finance,Central,2023-10-21,484745.76,320731.3
208,IT,South,2024-03-08,323154.2,311088.81
209,HR,East,2024-05-07,516522.43,289244.44
210,HR,East,2022-12-22,393950.84,352606.08
211,IT,West,2024-10-16,394051.26,118387.32
212,HR,North,2022-02-14,63803.42,291820.8
213,IT,North,2022-10-08,461067.05,293632.22
214,Operations,Central,2024-06-20,587715.92,300672.94
215,IT,West,2024-01-19,307530.85,274803.97
216,IT,North,2021-03-03,133011.91,113697.89
217,HR,East,2024-05-20,587222.61,412977.12
218,HR,West,2021-09-05,206019.86,439634.0
219,Sales,South,2022-05-12,272104.87,315728.66
220,Sales,West,2021-02-25,87938.36,209842.44
221,Operations,West,2022-04-04,106514.46,250066.41
222,Sales,North,2023-07-08,165193.95,64816.5
223,IT,Central,2024-08-05,349398.67,174987.03
224,HR,Central,2024-11-13,354573.01,439690.04
225,Sales,North,2024-12-15,381465.32,254616.02
226,Sales,North,2022-07-11,369018.41,260191.1
227,Operations,North,2023-08-22,319856.53,430119.3
228,Operations,Central,2024-01-10,490164.75,400905.01
229,IT,North,2022-03-20,563314.33,263685.48
230,HR,South,2023-03-03,194717.54,134204.05
231,Operations,South,2024-08-03,117257.49,68514.37
232,Sales,East,2024-07-31,280923.45,391097.42
233,HR,South,2022-05-06,59664.42,415479.54
234,HR,West,2024-11-12,535241.97,231531.09
235,Sales,East,2022-08-18,178036.97,58844.98
236,Operations,South,2022-02-12,349859.63,279889.08
237,Sales,West,2021-11-23,108877.72,176743.32
238,HR,South,2023-07-31,352057.82,86195.81
239,Finance,West,2023-08-07,66641.37,415069.94
240,Finance,North,2024-04-14,471687.72,121441.99
241,IT,West,2022-01-18,575258.91,325221.77
242,Sales,North,2023-10-11,215371.72,203491.24
243,Sales,West,2024-07-05,188309.11,375661.81
244,IT,West,2021-12-13,293637.21,320760.68
245,IT,South,2021-09-29,389085.38,71205.13
246,IT,West,2024-07-08,149874.17,212232.27
247,HR,South,2022-01-31,490835.94,130228.66
248,Sales,West,2021-06-03,155186.82,326268.49
249,HR,Central,2023-12-27,48038.19,253305.57
250,IT,East,2023-04-21,335959.07,164958.29
251,Sales,South,2021-12-14,108908.09,160326.78
252,HR,South,2023-12-23,432522.49,67458.38
253,HR,North,2021-12-22,137945.85,110371.03
254,IT,Central,2024-07-28,498646.12,326217.42
255,Sales,North,2023-12-01,306054.31,281478.74
256,IT,Central,2022-01-02,359284.24,171617.45
257,Sales,Central,2023-10-12,148554.77,379201.94
258,Finance,West,2021-10-04,126411.88,227266.35
259,Operations,North,2021-08-09,395367.32,361195.55
260,Operations,East,2021-03-02,186780.64,355469.83
261,Operations,Central,2024-02-01,259188.69,384335.55
262,IT,Central,2024-04-23,311094.28,385101.38
263,Finance,South,2024-03-16,172446.65,311355.04
264,Sales,West,2021-03-16,486460.21,341750.95
265,HR,East,2022-04-18,566380.55,353623.91
266,Sales,Central,2023-10-22,284700.7,91076.86
267,HR,South,2022-02-20,554239.35,147705.77
268,Sales,North,2024-10-20,534888.96,63031.57
269,Finance,Central,2021-01-17,137156.21,99808.43
270,HR,South,2023-12-19,141226.98,354220.09
271,IT,North,2024-02-13,309959.81,427151.71
272,Sales,West,2021-07-22,336850.73,309010.52
273,Sales,North,2024-05-02,234327.0,400772.61
274,HR,Central,2022-04-17,218671.14,155365.93
275,IT,East,2024-02-04,284408.85,383383.69
276,IT,North,2023-05-29,428216.0,164355.52
277,Finance,East,2023-08-23,91838.47,404280.03
278,IT,East,2023-03-29,439373.01,362755.8
279,IT,North,2024-02-24,559063.35,442913.98
280,IT,West,2022-02-18,468746.22,375381.81
281,Operations,North,2022-05-16,151380.66,190026.57
282,Finance,South,2021-05-01,93552.06,65554.47
283,Sales,East,2022-08-30,317161.13,395685.98
284,HR,Central,2024-05-16,575805.38,264754.5
285,Sales,East,2021-12-16,499577.9,388717.15
286,Finance,Central,2023-03-31,357317.17,185239.69
287,HR,South,2024-05-01,124354.69,30506.07
288,Finance,South,2022-10-16,441179.41,40643.97
289,IT,South,2023-02-23,496214.02,307655.34
290,HR,North,2024-11-17,563963.37,67447.83
291,IT,East,2022-05-12,384724.51,340039.58
292,Sales,Central,2022-01-27,330528.53,199199.21
293,Sales,South,2024-02-07,388646.03,261262.62
294,HR,South,2023-07-18,568505.14,364124.18
295,HR,Central,2022-04-15,393610.53,127326.86
296,Finance,East,2021-12-16,187963.48,196373.9
297,Finance,East,2023-02-14,398064.03,333168.76
298,IT,Central,2021-05-29,533258.24,414760.79
299,HR,West,2021-09-13,359686.13,143409.5
300,Sales,East,2024-11-13,323997.85,287016.31
301,Finance,Central,2024-05-07,452019.93,428924.43
302,Finance,Central,2024-04-24,411848.73,298304.15
303,Sales,South,2021-12-10,76461.62,403684.89
304,Finance,Central,2022-11-08,447547.68,423963.3
305,IT,North,2021-04-18,271189.93,419476.01
306,HR,South,2022-08-18,567198.55,345662.1
307,Sales,South,2024-01-09,583795.66,256505.25
308,HR,East,2024-06-30,294050.04,59797.23
309,Finance,West,2021-01-25,582681.14,114209.05
310,Finance,East,2021-10-10,217505.39,128491.4
311,Sales,North,2023-06-06,423867.65,32368.14
312,IT,South,2023-07-27,86655.36,62030.9
313,Operations,South,2022-09-12,125469.09,145334.89
314,Sales,Central,2021-08-26,524811.88,57200.09
315,Operations,West,2023-07-27,541050.14,91239.12
316,Operations,West,2021-11-12,340599.21,41508.4
317,IT,Central,2023-04-20,233574.25,197942.1
318,Operations,North,2022-04-08,295318.28,372813.39
319,Operations,West,2022-08-15,527641.59,368889.34
320,IT,South,2023-04-20,162101.35,408912.67
321,Operations,North,2023-09-23,208652.98,340098.99
322,Operations,East,2024-11-06,480920.83,123598.93
323,Operations,East,2021-05-30,564074.54,321432.44
324,Sales,North,2021-12-18,96574.67,343651.06
325,Sales,South,2022-03-18,491093.63,252622.46
326,Sales,East,2022-01-30,403012.91,366628.58
327,IT,South,2024-10-20,173078.21,48786.84
328,Finance,Central,2021-01-06,464478.54,274945.21
329,Operations,West,2022-06-18,448993.42,225313.94
330,Operations,North,2021-08-08,123826.55,365851.5
331,IT,West,2023-05-21,323749.34,73278.98
332,Operations,Central,2021-01-12,465851.55,109853.56
333,Sales,East,2023-03-06,151306.99,259354.93
334,Finance,South,2024-11-09,301835.14,427192.7
335,HR,South,2022-12-05,112011.32,53942.36
336,Operations,Central,2022-04-03,215293.38,339138.87
337,Sales,North,2021-08-13,165959.42,106732.46
338,HR,West,2021-12-02,325314.48,63553.91
339,Finance,East,2021-06-16,123374.51,188538.96
340,HR,North,2024-09-01,257648.67,269878.82
341,Sales,Central,2024-02-14,197715.41,375271.75
342,HR,Central,2022-05-13,459057.15,292186.88
343,IT,South,2021-05-28,433316.72,230400.21
344,HR,East,2021-02-05,97686.44,141408.3
345,Operations,North,2024-12-01,574183.56,144382.91
346,Operations,South,2024-11-09,458299.02,350889.19
347,IT,East,2023-09-17,386857.08,67273.78
348,Sales,West,2024-12-05,310124.33,81276.67
349,Operations,West,2021-11-04,143746.94,328926.12
350,Finance,South,2022-10-04,578918.87,433170.16
351,Operations,North,2021-08-28,49361.4,69941.18
352,Operations,East,2023-07-06,429327.03,281272.07
353,Sales,West,2023-06-24,326631.6,121329.38
354,HR,West,2024-10-22,545932.95,29127.38
355,Operations,North,2023-05-06,256286.99,377539.63
356,IT,South,2021-10-31,332847.65,237717.19
357,HR,Central,2022-09-09,456998.36,28320.46
358,Finance,East,2024-04-05,71399.43,404835.83
359,Sales,West,2022-07-08,75233.76,249416.02
360,Finance,Central,2023-02-05,162478.38,336413.11
361,HR,North,2024-08-17,126265.64,200954.08
362,HR,South,2023-06-17,48576.12,97869.57
363,HR,East,2023-08-30,390759.35,219127.67
364,Finance,North,2024-05-13,486745.57,142274.46
365,HR,South,2021-07-14,576198.81,146189.71
366,Finance,North,2024-04-09,289699.68,296155.35
367,HR,West,2024-11-26,200244.97,58642.41
368,IT,West,2023-11-29,524465.86,189510.28
369,HR,Central,2022-10-08,513639.57,254150.81
370,Finance,North,2021-09-09,391787.98,324658.43
371,Operations,West,2024-07-30,196597.72,291412.48
372,HR,South,2021-07-26,549227.27,400858.52
373,Operations,Central,2022-05-15,144012.74,446710.01
374,IT,East,2024-03-12,69223.81,422966.92
375,Sales,North,2021-01-19,487123.15,348113.83
376,IT,West,2023-03-30,357830.78,314358.59
377,HR,South,2022-11-18,181789.64,33306.49
378,Operations,North,2021-01-20,417347.09,248471.49
379,Operations,South,2022-03-24,470527.67,304725.7
380,Finance,Central,2024-06-03,513723.0,196390.1
381,Operations,West,2024-01-30,201579.94,184232.14
382,Finance,West,2023-01-09,59201.04,252371.44
383,Sales,Central,2021-10-21,328071.55,409668.44
384,HR,South,2021-03-06,520123.62,130721.06
385,Finance,North,2022-05-14,160340.84,190391.68
386,Sales,South,2021-03-17,278724.64,300133.93
387,Operations,North,2023-06-20,187313.51,98355.14
388,Operations,Central,2022-09-27,52416.27,378678.35
389,Sales,East,2024-02-23,543680.87,305741.03
390,Operations,North,2021-01-27,119954.54,170177.21
391,Sales,West,2024-07-23,470555.75,329976.15
392,Finance,West,2022-11-11,237364.79,138677.7
393,Finance,West,2021-03-24,199113.46,352567.11
394,Sales,South,2022-05-01,567271.03,48537.24
395,Finance,South,2021-01-06,409745.72,202356.86
396,Finance,South,2023-08-27,426242.08,131027.99
397,Finance,West,2022-01-03,466607.37,370814.57
398,IT,North,2022-04-16,234218.0,343186.73
399,HR,West,2022-11-20,357833.79,381684.12
400,Operations,North,2022-01-05,194973.96,299475.23
401,IT,South,2024-09-25,508170.54,361579.28
402,Finance,East,2021-10-05,377615.6,207556.53
403,Sales,South,2021-12-06,180090.79,310920.8
404,Finance,Central,2023-03-26,544365.92,31442.83
405,HR,North,2022-09-06,367366.2,398473.03
406,Finance,East,2024-01-09,319741.93,313822.22
407,Sales,South,2023-03-04,64140.61,392153.67
408,HR,East,2022-08-26,549940.11,351011.03
409,Finance,West,2021-03-08,573512.02,141714.73
410,HR,North,2021-08-03,357242.24,135884.26
411,Operations,Central,2022-02-20,290594.91,363443.95
412,Operations,West,2024-03-14,244558.61,97794.37
413,Finance,East,2022-07-06,193766.63,65805.64
414,HR,South,2024-08-02,363863.78,24498.23
415,Sales,North,2022-07-25,116092.75,146920.92
416,Finance,Central,2022-06-24,555141.35,60882.5
417,Operations,South,2023-12-07,142657.1,364328.58
418,Operations,Central,2024-06-14,458759.86,227322.93
419,Finance,North,2021-04-27,215322.71,127086.58
420,HR,East,2021-05-31,170469.45,278101.56
421,Operations,Central,2024-01-12,354617.39,48392.25
422,HR,North,2023-12-17,469644.36,331684.38
423,Operations,Central,2023-09-11,448338.85,234601.8
424,Operations,South,2024-11-09,174734.77,20797.79
425,IT,Central,2024-05-28,228428.8,155901.81
426,Operations,South,2024-08-01,527201.86,342083.11
427,Sales,South,2023-10-01,446400.28,99265.75
428,Finance,North,2022-03-10,440545.12,433530.98
429,Finance,West,2021-11-16,194242.32,405343.79
430,HR,Central,2021-08-30,484562.39,354199.13
431,Operations,East,2022-04-10,243921.88,51932.89
432,Sales,South,2021-07-22,267771.74,170857.71
433,HR,West,2022-07-03,204596.4,146821.25
434,IT,South,2023-01-28,112371.59,77454.14
435,HR,West,2024-03-04,278318.43,449835.36
436,HR,West,2023-05-08,54401.42,81589.38
437,Operations,East,2023-02-25,298030.18,154221.5
438,IT,West,2022-06-25,447378.57,398221.11
439,HR,East,2022-05-02,578213.49,80374.48
440,Sales,North,2022-07-26,88630.3,220836.08
441,Sales,South,2023-04-20,201116.34,439498.14
442,Finance,East,2022-10-23,319242.73,124828.62
443,IT,South,2022-02-09,139565.31,321721.15
444,IT,Central,2024-12-27,109839.83,52577.13
445,Finance,North,2022-10-19,296036.55,277576.68
446,HR,Central,2024-06-27,367305.44,164469.4
447,IT,Central,2024-01-09,500215.29,320211.88
448,Sales,West,2023-08-07,598780.9,205008.48
449,Sales,West,2021-01-15,474720.28,147167.42
450,Operations,Central,2023-09-02,167843.95,253875.41
451,IT,West,2023-11-30,460127.83,78344.75
452,HR,South,2024-01-10,343120.26,369834.61
453,Finance,West,2021-11-03,295199.31,342306.46
454,Finance,Central,2022-12-06,564329.31,253426.25
455,HR,West,2022-02-01,434661.39,176564.87
456,Operations,West,2022-11-09,423339.66,413377.7
457,Finance,East,2023-08-28,51524.56,292086.03
458,IT,East,2023-05-15,525114.68,141033.66
459,Operations,Central,2024-05-12,485281.76,366498.12
460,IT,South,2021-07-30,210912.74,292328.51
461,Sales,North,2022-02-03,207122.94,72869.45
462,Operations,North,2024-10-28,74680.55,67348.76
463,Finance,Central,2024-11-13,73225.32,423261.37
464,Operations,South,2021-09-15,416069.95,142377.98
465,Operations,South,2021-04-25,148361.88,304624.48
466,Operations,South,2021-11-30,557569.06,33739.43
467,Operations,East,2021-12-15,512534.46,258408.84
468,IT,Central,2021-08-21,238631.26,117847.57
469,Sales,North,2022-03-25,255938.05,78318.55
470,HR,South,2024-01-06,226638.49,352153.35
471,Operations,Central,2023-04-08,96279.18,367722.43
472,Finance,North,2022-08-31,62443.74,326971.69
473,Operations,East,2021-04-08,295933.9,22832.72
474,Finance,West,2022-07-22,568387.26,141080.78
475,IT,North,2022-04-07,554073.37,173935.27
476,Finance,North,2022-05-15,494460.5,316447.3
477,HR,North,2022-09-23,393870.18,344394.87
478,Sales,West,2023-11-28,520203.44,289233.33
479,Finance,South,2024-10-13,330863.03,358886.16
480,Finance,West,2024-06-19,144988.87,202593.55
481,Sales,North,2023-12-11,424714.54,252077.04
482,HR,East,2024-12-19,555958.55,45756.08
483,Operations,North,2021-05-07,55880.83,202534.52
484,Finance,East,2024-02-01,184551.45,204897.51
485,Sales,Central,2022-04-22,192318.2,282176.69
486,IT,East,2024-06-06,99966.94,181251.22
487,Sales,North,2022-12-24,170149.29,121012.55
488,IT,West,2022-03-12,258110.05,120641.6
489,HR,North,2024-11-09,566608.66,75833.09
490,Operations,North,2021-03-26,522447.5,320841.78
491,Sales,Central,2024-10-14,570033.45,286949.54
492,Finance,South,2023-02-25,111917.34,268235.97
493,HR,North,2021-01-27,60566.9,247400.48
494,Sales,Central,2023-05-10,105985.16,176776.2
495,Finance,West,2021-03-13,552434.08,350085.69
496,Sales,Central,2024-01-24,132406.19,416314.44
497,IT,Central,2022-08-11,362813.37,208075.33
498,Sales,East,2024-12-20,171308.22,194726.28
499,Sales,South,2023-10-27,56452.66,88298.3
500,Sales,South,2024-01-19,91964.84,307746.2
501,HR,West,2024-05-30,438937.35,259095.86
502,Sales,Central,2021-06-01,146213.38,444815.13
503,Finance,West,2024-05-20,172172.26,270427.61
504,IT,West,2022-08-06,254377.36,142679.89
505,IT,South,2024-07-10,409769.07,261190.37
506,Sales,South,2024-11-06,305501.68,443388.34
507,HR,South,2021-02-26,569258.67,330480.8
508,HR,North,2022-03-02,285971.12,73545.4
509,Finance,Central,2021-05-22,155517.66,166246.25
510,Sales,West,2022-07-22,342559.28,147031.9
511,IT,Central,2023-11-05,295243.74,388147.87
512,HR,West,2023-10-29,481861.78,282022.35
513,Sales,West,2024-06-08,563992.28,367964.06
514,HR,West,2024-04-24,509143.85,94138.3
515,HR,West,2023-12-13,260917.05,410271.08
516,IT,East,2021-05-17,164944.45,43190.35
517,Operations,East,2021-06-23,552541.36,179929.66
518,Finance,North,2023-05-10,259196.51,24112.39
519,Finance,South,2021-08-07,472464.68,97608.74
520,IT,West,2024-07-10,594187.67,433681.57
521,HR,Central,2021-09-12,365480.69,51909.98
522,Sales,East,2023-03-23,311333.66,80815.64
523,HR,South,2021-09-27,433428.28,417534.78
524,IT,North,2021-08-12,152631.69,324795.41
525,Finance,South,2023-06-02,315973.06,193808.62
526,HR,West,2022-08-27,218343.57,47706.83
527,Finance,South,2024-03-03,136146.47,357136.83
528,Sales,West,2024-04-01,383625.78,230857.89
529,Finance,East,2022-12-02,364516.88,157543.29
530,Finance,East,2023-07-09,467468.0,173844.18
531,Operations,West,2021-03-14,529498.42,236279.9
532,Operations,Central,2023-06-17,167308.67,256132.58
533,Operations,East,2023-08-05,477734.97,371418.67
534,Finance,Central,2022-06-27,248898.76,351376.01
535,IT,West,2022-09-23,393987.11,349369.35
536,Finance,West,2023-03-06,516883.22,333056.73
537,IT,East,2023-05-28,187182.74,345363.95
538,IT,Central,2024-07-02,378533.51,310723.86
539,Operations,West,2023-01-27,311576.98,392986.14
540,HR,East,2022-09-10,483770.4,258820.26
541,Sales,West,2021-07-17,431968.92,243004.72
542,Operations,South,2024-12-21,472145.67,320959.86
543,Operations,South,2022-05-08,204808.44,89714.58
544,HR,East,2021-03-23,435917.74,353643.14
545,Sales,West,2024-08-24,381222.26,422419.32
546,Finance,East,2022-01-09,298457.65,145984.3
547,Finance,North,2022-05-16,254980.75,281971.42
548,Operations,East,2021-12-23,229038.02,32092.93
549,Sales,East,2024-08-12,50369.27,348835.48
550,Operations,South,2022-08-03,139105.0,259776.65
551,IT,South,2021-10-27,77732.91,309018.65
552,Operations,West,2022-10-08,515838.44,79772.86
553,Operations,East,2024-09-28,522349.32,367684.48
554,Finance,East,2021-04-30,514637.3,128564.5
555,Finance,West,2021-07-05,498945.47,313830.23
556,Finance,Central,2022-08-07,167838.4,274237.24
557,IT,West,2024-03-27,317941.33,300437.9
558,Finance,South,2024-06-05,548853.29,39702.51
559,Sales,South,2021-11-04,466678.9,338479.45
560,HR,East,2021-08-22,46010.26,361547.88
561,Sales,South,2023-11-01,299981.75,223120.44
562,Sales,West,2021-06-24,50921.96,194627.97
